state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day calls,total day charge,total eve calls,total eve charge,total night calls,total night charge,total intl calls,total intl charge,customer service calls,churn
ID,160,415,390-7274,no,no,0,77,14.59,110,14.05,92,8.03,4,2.48,3,FALSE
WI,64,510,352-1237,no,no,0,67,26.18,118,19.19,86,11.94,3,0.95,1,FALSE
OR,59,408,353-3061,no,yes,28,97,20.55,,18.11,116,7.34,5,2.3,2,FALSE
MI,65,415,363-5450,no,no,0,120,35.92,122,13.82,118,6.06,5,3.56,3,FALSE
DE,142,408,364-1995,no,no,0,133,31.79,74,11.44,127,10.9,5,2,2,FALSE
ID,119,415,398-1294,no,no,0,114,27.05,117,19.66,91,6.44,3,2.38,5,TRUE
WY,97,415,405-7146,no,yes,24,135,22.64,58,18.46,79,3.18,3,2.97,1,FALSE
IA,52,408,413-4957,no,no,0,108,32.62,96,22.93,87,10.66,5,2.11,3,FALSE
IN,60,408,420-5645,no,no,0,57,37.5,115,17.94,129,11.21,3,1.84,1,FALSE
VA,10,408,349-4396,no,no,0,112,31.64,66,16.17,57,12.73,6,3.08,2,FALSE
UT,96,415,404-3211,no,no,0,117,27.23,67,22.74,68,10.28,5,2.51,2,FALSE
WY,87,415,353-3759,no,no,0,83,25.67,116,18.67,127,9.18,3,,5,TRUE
IN,81,408,363-5947,no,no,0,67,29.84,85,21.19,98,12.16,3,2.75,1,FALSE
CO,141,415,340-5121,no,no,0,98,21.57,62,15.3,128,6.34,2,2.16,1,FALSE
CO,121,408,370-7574,no,yes,30,129,33.73,77,6.4,77,8.15,3,1.57,3,TRUE
WI,68,415,403-9733,no,no,0,70,25.3,164,20.95,,5.84,,3.27,3,FALSE
OK,125,408,355-7251,no,no,0,103,38.98,126,15.08,95,8.52,8,3.24,1,FALSE
ID,174,408,359-5893,no,no,0,97,32.66,94,14.44,54,7.5,4,3.08,1,FALSE
CA,116,415,405-3371,no,yes,34,83,45.66,142,15.15,106,7.48,3,3.13,2,FALSE
MN,74,510,344-5117,no,yes,33,91,32.93,96,20.92,92,6.21,3,3.94,2,FALSE
SD,149,408,332-8160,no,yes,28,92,30.72,64,15.96,53,11.95,3,3.4,3,FALSE
NC,38,408,359-4081,no,no,0,98,22.3,97,13.85,106,7.15,6,2.21,2,FALSE
WA,40,415,352-8305,no,yes,41,74,25.18,88,14.41,102,9.63,5,1.67,2,FALSE
WY,43,415,329-9847,yes,no,0,105,42.76,104,18.09,67,7.1,4,2.51,0,FALSE
MN,113,408,365-9011,yes,no,0,93,21.28,119,17.54,139,5.82,8,2.24,0,FALSE
UT,126,408,338-9472,no,no,0,70,35.97,80,18.44,60,6.91,1,2.11,1,FALSE
TX,150,510,374-8042,no,no,0,101,30.41,110,14.37,100,6.69,3,3.73,4,TRUE
NJ,138,408,359-1231,no,no,0,93,41.11,83,14.49,104,13.29,7,3.19,3,FALSE
MN,162,510,413-7170,no,yes,46,97,38.23,84,16,61,11.46,2,3.27,0,FALSE
NM,147,510,415-2935,no,no,0,83,,85,12.66,109,7.76,4,2.16,,FALSE
NV,90,415,399-4246,no,no,0,146,34.58,117,19.27,105,6.86,4,1.97,1,FALSE
HI,85,415,362-5889,no,no,0,109,40.09,94,13.36,99,8.47,3,3.24,0,FALSE
MN,50,415,350-8921,no,no,0,90,26.71,72,18.98,111,8.16,2,1.65,1,FALSE
DC,82,415,374-5353,no,no,0,109,51.05,100,15.39,73,12.15,4,3.16,0,TRUE
NY,144,408,360-1171,no,no,0,117,10.47,85,6.55,99,7.79,7,2.21,4,TRUE
MN,46,415,355-8887,no,no,,72,36.4,104,13.97,113,7.99,3,2.21,2,FALSE
MD,70,408,333-1967,no,no,0,98,28.93,102,13.19,76,10.29,2,4.05,1,FALSE
WV,144,415,354-4577,no,no,0,99,34.19,74,25.8,119,10.08,2,3.56,1,FALSE
OR,116,415,331-7425,yes,no,0,104,36.62,79,,109,12.53,5,3.4,3,FALSE
CO,55,408,419-2637,no,yes,25,123,28.15,95,11.57,90,7.91,2,2.97,3,FALSE
GA,70,415,411-1530,no,yes,24,101,42.42,98,22.07,68,10.02,4,2.65,1,FALSE
TX,106,510,395-3026,no,no,0,96,35.8,85,21.18,88,8.61,1,3.35,2,TRUE
VT,128,510,388-6441,no,yes,29,104,30.48,86,19.2,78,14.54,7,2.32,0,FALSE
IN,94,408,402-1251,no,no,0,105,26.84,101,13.18,84,8.53,5,2.16,4,TRUE
WV,111,510,412-9997,no,no,0,118,36.43,76,17.72,98,8.21,2,3.24,1,FALSE
KY,74,415,346-7302,no,yes,35,104,26.2,84,10.49,57,9.09,9,2.94,2,FALSE
NJ,128,415,358-9095,no,no,0,,40.44,93,21.05,68,9.4,4,3.75,1,TRUE
DC,82,510,400-9770,no,no,0,61,24.46,105,16.57,94,4.93,2,3,1,FALSE
LA,155,415,334-1275,no,no,0,100,34.58,104,16.23,,8.82,4,2.4,0,TRUE
AR,80,415,340-4953,no,no,0,100,21.13,107,14.71,62,11.39,9,2.13,1,FALSE
ME,78,415,400-9510,no,no,0,93,42.99,112,15.16,105,11.88,7,2.57,3,FALSE
AZ,90,415,387-6103,no,no,0,71,30.45,81,16.2,91,5.75,7,2.86,3,FALSE
AK,104,408,366-4467,no,no,0,106,47.33,113,6.89,137,7.34,5,2.65,1,FALSE
MT,73,415,370-3450,no,no,0,110,27.22,72,18.13,72,7.83,4,3.51,0,FALSE
AZ,99,415,327-3954,no,no,0,87,33.69,76,17.62,113,8.59,3,2.35,4,FALSE
MS,120,408,355-6291,no,no,0,131,36.06,104,17.8,96,7.52,5,1.43,1,TRUE
ID,77,415,362-9748,no,no,0,72,42.81,126,,109,12.38,7,2.65,2,TRUE
IA,98,510,379-6506,no,yes,21,114,27.4,83,21.44,92,,8,1.19,4,FALSE
MA,108,415,347-7741,no,no,0,137,30.31,76,16.07,102,5.81,5,3.94,0,FALSE
VT,135,415,354-3783,no,no,0,82,25.79,105,10.12,100,8.1,6,2.84,0,FALSE
KY,95,408,401-7594,no,no,0,99,22.95,106,15.61,102,11.04,9,3.38,1,FALSE
IN,122,408,397-4976,no,no,0,94,28.99,109,14.76,75,11.19,2,3.05,1,FALSE
AZ,95,408,334-2577,no,no,0,65,40.48,98,15.91,115,8.55,4,3.19,4,FALSE
MI,36,510,400-3637,no,yes,29,102,47.84,76,17.19,113,8.42,6,2.43,2,FALSE
NM,93,510,383-4361,no,yes,21,131,20.04,115,13.98,86,9.76,3,2.65,1,FALSE
CO,141,415,371-4306,no,yes,32,91,25.26,97,11.14,142,9.87,1,2.73,1,FALSE
UT,157,408,403-4298,no,no,0,90,39.07,121,12.57,108,10.86,7,2.59,3,FALSE
MI,120,408,409-3786,no,no,0,100,28.05,83,26.96,86,5.36,8,2.24,1,FALSE
MA,103,415,337-4697,no,no,0,117,31.45,94,18.98,91,10.03,2,3.4,2,FALSE
AL,98,408,383-1509,no,no,0,117,27.37,113,16.23,113,10.25,4,3.27,4,FALSE
DE,125,408,359-9794,no,no,0,108,21.54,90,17.51,114,11.15,7,3.59,1,FALSE
AZ,63,415,407-7035,no,no,0,125,10.01,59,14.42,88,9.51,3,2.54,1,FALSE
ME,36,510,363-1069,yes,yes,42,89,33.46,122,21.67,126,6.22,6,5.4,0,TRUE
NJ,64,510,391-4652,no,no,0,83,27.64,109,12.95,122,2.59,3,3.83,1,FALSE
NV,74,415,355-6837,no,no,0,114,48.03,48,18.69,115,7.65,4,2.54,1,TRUE
MO,112,510,409-1244,no,yes,36,117,19.33,82,13.39,118,7.99,3,2.7,2,FALSE
ID,97,408,328-3266,no,no,0,125,40.77,111,18.26,81,6.45,5,2.35,2,FALSE
NE,46,408,352-7072,no,no,0,92,35.73,77,19.32,116,9,7,3.54,1,FALSE
TX,41,408,370-7550,no,yes,22,102,36.35,86,12.05,123,6.4,3,1.94,0,FALSE
MD,121,510,369-5526,no,no,0,103,32.42,117,15.6,103,9.94,4,2.65,3,FALSE
MS,193,415,329-4391,no,no,0,124,29.05,95,11.25,89,5.08,3,3.13,1,FALSE
NV,130,510,408-4195,no,no,0,119,26.21,98,9.37,117,10.23,5,2.48,2,FALSE
AZ,85,408,354-4445,no,no,0,52,34.24,104,19.5,106,11.36,3,3.24,1,FALSE
MS,162,415,335-4858,no,no,0,108,12.02,87,13.39,82,6.97,3,2.46,4,TRUE
MS,61,510,414-8718,no,yes,27,124,31.88,103,12.46,129,10.16,6,1.73,4,TRUE
TX,92,408,409-5939,no,no,0,90,15.59,123,16.46,86,7.88,4,2.48,2,FALSE
NE,131,408,331-4902,no,yes,36,115,36.41,117,13.74,102,11.91,4,2.57,3,FALSE
NE,90,415,353-6870,no,no,0,92,24.74,114,18.5,123,6.61,2,2.94,3,FALSE
CA,75,408,355-2909,no,no,0,125,28.27,86,13.45,80,11.55,5,1.65,1,FALSE
NJ,78,415,390-6101,no,no,0,115,39.27,140,19.58,120,11.76,3,2.57,1,FALSE
TX,82,408,400-3446,no,no,0,96,34.05,102,17.1,60,9.27,1,1.92,4,FALSE
AR,163,408,411-5859,no,no,0,109,33.49,128,17.22,80,9.29,10,2.46,1,FALSE
AL,91,510,387-2919,yes,no,0,112,22.08,83,14.73,130,11.12,3,3.02,3,FALSE
NY,75,415,374-8525,no,yes,21,97,29.89,106,18.49,134,10.69,4,1.43,5,FALSE
FL,91,510,379-5592,no,no,0,106,34.53,113,17.86,129,8.8,3,3.24,3,FALSE
AK,127,510,345-8237,no,yes,36,117,31.14,76,10.78,71,11.85,8,3.02,1,FALSE
NV,113,415,422-6690,no,yes,23,101,34.85,60,12.92,59,7.14,5,2.75,2,FALSE
DE,110,510,346-2359,no,no,0,115,25.25,84,23.49,112,8.71,3,3.35,1,FALSE
MD,120,415,374-3534,no,yes,39,68,34.05,97,18.73,116,11.42,4,2.84,0,FALSE
MI,157,415,381-4756,no,yes,28,107,32.74,74,16.62,139,4.94,5,1.84,3,FALSE
VT,103,510,390-2805,no,no,0,47,41.91,84,16.62,96,9.02,4,3.16,1,FALSE
VT,117,408,390-2390,yes,no,0,86,28.41,87,15.09,132,11.22,7,3.81,2,TRUE
MI,140,415,419-9097,no,no,0,101,39.42,94,13.61,98,4.97,6,3.86,3,FALSE
WA,127,408,386-7281,no,no,0,91,24.94,78,17.3,110,9.15,3,3.7,1,FALSE
UT,83,408,380-3561,yes,no,0,87,46.16,126,18.39,105,5.45,4,3.16,1,FALSE
LA,121,408,390-8760,no,no,0,121,30.86,98,18.56,103,7.27,5,2.3,1,FALSE
RI,145,408,366-6730,no,yes,43,97,43.81,95,13.78,86,12.91,4,3,2,FALSE
IA,113,408,395-5285,no,no,0,99,32.95,125,18.82,67,7.75,6,2.86,1,FALSE
NE,117,415,354-3436,no,no,0,119,17.48,91,17.57,105,13.46,7,2.73,1,FALSE
OH,65,408,336-7600,no,no,0,116,31.94,117,13.4,86,10.23,6,2.03,1,FALSE
RI,56,415,383-6293,no,no,0,112,38.42,118,21.12,142,6.32,11,1.86,1,FALSE
OK,96,415,362-4596,no,no,0,115,44.27,46,12.41,87,12.13,4,3.11,5,FALSE
LA,151,408,401-3926,no,no,0,116,30.38,138,24.83,101,11.97,4,2.65,0,FALSE
OH,83,415,370-9116,no,no,0,120,57.36,116,19.33,114,6.93,7,4.27,0,TRUE
VA,139,510,328-6289,no,yes,23,129,26.79,96,21,112,11.66,2,3.7,0,FALSE
MO,6,510,350-9994,no,no,0,117,31.21,72,21.82,79,8.04,2,2.75,1,FALSE
FL,115,510,351-4616,no,yes,24,124,24.16,129,15.59,114,7.42,4,2.59,1,FALSE
SC,87,415,360-5779,no,no,0,97,23.17,108,14.64,101,6.19,5,1.92,0,FALSE
VA,141,415,417-4885,no,no,0,110,36.91,111,20.53,103,11.41,6,3.24,0,FALSE
IA,141,510,406-4710,no,yes,36,99,31.88,116,20.52,105,10.33,5,2.84,3,FALSE
MI,62,415,409-8743,no,no,0,103,16.81,122,11.51,82,10.65,1,3.29,1,FALSE
OK,146,415,335-4584,no,no,0,151,35.07,89,12.63,91,7.52,3,1.65,1,FALSE
DE,92,415,361-9845,no,yes,33,92,41.33,92,18.17,104,10.29,2,3.27,2,FALSE
GA,185,510,366-5699,no,yes,31,126,32.27,133,13.88,126,11.92,3,2.03,1,FALSE
DC,148,415,329-9364,no,no,0,102,34.34,128,20.67,90,11.76,3,2.94,1,FALSE
AZ,94,408,390-7434,no,yes,38,124,28.92,116,16.43,73,4.77,4,3.46,1,FALSE
AL,32,510,404-9680,no,no,0,87,39.25,90,15.93,53,6.93,2,1.7,0,FALSE
CO,68,408,338-9398,no,no,0,105,40.31,105,19,79,4.38,2,3.56,1,FALSE
NH,64,408,394-2445,no,yes,27,91,30.96,98,14.42,86,7.41,5,2.86,2,FALSE
NM,25,415,381-2709,no,no,0,87,20.28,101,17.98,86,12.1,4,2.84,3,FALSE
OR,65,415,397-5060,no,no,0,87,19.86,93,15.21,150,8.21,2,3.81,1,FALSE
LA,179,408,415-2393,no,no,0,92,37.26,125,12.7,104,11.01,5,1.65,0,FALSE
NE,94,415,377-1765,no,no,0,104,42.94,125,14.37,106,7.69,7,3,2,FALSE
MN,62,415,409-2111,no,no,0,91,25.01,107,16.18,115,8.78,3,3.29,0,FALSE
MI,127,415,401-3170,no,no,0,103,34.36,86,19.5,113,8.78,3,3.11,2,FALSE
AR,116,408,405-5681,no,no,0,93,29.5,76,16.5,112,9.36,10,4.37,3,FALSE
KS,70,408,411-4582,no,no,0,122,39.46,112,24.85,112,9.05,0,0,3,FALSE
WV,94,510,355-5009,yes,yes,23,125,33.51,136,18.23,103,12.7,5,2.57,4,FALSE
AK,126,415,372-3750,no,no,0,94,9.89,118,11.79,91,6.16,1,3.21,5,TRUE
NY,67,408,405-2888,no,yes,36,111,19.65,94,20.2,103,7.65,12,2.67,2,FALSE
NH,19,408,361-3337,no,no,0,98,31.64,57,21.62,127,9.63,7,3.94,2,FALSE
VA,170,510,350-1639,yes,no,0,68,44.18,122,20.83,121,6.05,3,2.27,3,FALSE
NM,73,415,333-3221,no,no,0,145,36.43,135,22.82,92,10.85,13,2.92,1,FALSE
NY,106,408,422-1471,no,no,0,74,26.98,139,5.47,103,8.93,4,2.75,1,FALSE
AZ,93,415,399-7865,no,no,0,71,46.17,108,19.5,121,3.48,3,2.94,2,FALSE
WY,164,510,373-4819,no,no,0,111,27.3,126,13.87,112,8.42,3,2.43,1,FALSE
WA,51,408,338-6981,no,no,0,109,39.51,95,15.93,107,10.4,3,2.46,1,FALSE
CO,107,415,418-4365,no,no,0,85,22.75,94,15.34,115,5.05,4,2.4,0,FALSE
TX,130,415,359-5461,no,no,0,109,30.07,104,7.71,69,10.71,2,2.57,1,FALSE
KY,80,408,375-3586,no,no,0,74,35.68,77,16.58,119,9.37,4,2.38,2,FALSE
MT,94,415,407-8376,no,no,0,118,23.38,88,17.27,131,6.75,2,3.62,0,FALSE
OK,118,408,408-6496,no,yes,23,52,49.22,111,14.16,88,5.36,4,2.57,1,FALSE
MD,117,415,385-7688,no,yes,23,86,33.68,86,15.05,92,8.12,6,1.84,1,FALSE
TN,78,415,332-6934,no,no,0,119,25.45,115,15.49,126,11.77,8,2.62,0,FALSE
TX,208,510,378-3625,no,no,0,67,55.51,113,14.99,102,8.18,6,2.89,2,TRUE
ME,131,510,353-7292,yes,yes,26,101,49.79,97,16.97,127,11.49,7,3.73,4,TRUE
DC,63,408,399-6786,no,no,0,64,14.11,106,15.05,89,11.06,3,3.51,0,FALSE
MN,53,415,358-3261,no,yes,24,146,24.77,136,18.74,96,11.25,5,3.54,3,FALSE
DE,62,408,377-9932,no,no,0,101,30.99,93,27.9,131,11.03,1,3.02,2,FALSE
MD,97,415,397-4030,no,no,0,86,37.06,94,15.64,110,10.82,8,1.73,3,FALSE
MI,105,510,367-1062,no,no,0,109,23.9,51,15.18,83,9.76,3,1.84,2,FALSE
WA,157,415,341-8467,no,no,0,105,25.96,80,21.89,93,8.91,4,2.54,1,FALSE
MO,66,415,339-9453,no,yes,36,76,18.14,77,17.83,117,8.57,2,3.27,1,FALSE
IN,122,415,344-3388,no,no,0,98,41.45,72,7.13,84,8.09,8,3.7,2,FALSE
OR,38,415,375-8013,no,no,0,94,33.05,95,15.87,90,10.05,5,2.92,3,FALSE
MD,106,510,408-4142,no,no,0,95,36.36,70,12.91,124,11.7,5,3.29,3,FALSE
RI,99,510,386-3671,no,no,0,112,36.92,89,20.97,89,10.17,7,4.27,3,FALSE
LA,99,415,411-2284,no,no,0,72,40.99,98,13.23,109,8.47,10,3.13,1,FALSE
AZ,144,510,346-7795,yes,no,0,100,34.6,103,21.05,94,8.74,11,3.21,0,FALSE
PA,82,415,333-5609,no,yes,24,131,26.38,106,20.78,68,5.51,3,2.89,1,FALSE
AZ,86,408,405-1842,no,yes,31,139,28.49,118,9.61,121,11.11,6,3.29,1,FALSE
FL,70,510,366-6345,yes,no,0,98,38.54,115,19.39,93,3.29,4,4.75,2,TRUE
LA,93,415,337-9345,no,no,0,93,30.48,98,15.18,131,10.13,6,3.11,3,FALSE
FL,93,415,328-6770,no,no,0,89,25.74,76,15.84,120,7.76,3,2.94,0,FALSE
FL,120,415,380-7321,no,no,0,80,30.6,82,19.06,91,11.94,7,1.27,3,FALSE
MD,136,415,375-1476,no,no,0,121,42.53,118,22.7,114,6.8,2,3.51,1,TRUE
AL,106,415,356-1567,no,no,0,121,37.91,98,9.36,107,8.49,12,1.92,0,FALSE
WA,81,415,422-6685,no,no,0,116,31.21,98,12.97,99,9.55,6,3.29,3,FALSE
TN,127,408,336-1090,no,yes,22,114,28.22,103,14.83,68,11.02,6,2.75,1,FALSE
MS,65,415,343-2095,no,no,0,112,23.14,96,23.2,104,9.91,2,1.19,1,FALSE
ME,35,408,345-3934,no,no,0,113,25.38,122,20.59,104,7.84,6,2.4,2,FALSE
OK,88,408,338-8050,no,no,0,97,11.12,76,14.3,113,10.62,1,3.73,2,FALSE
IN,65,415,388-9568,no,no,0,111,36.28,94,19.93,123,11.25,4,0.73,1,FALSE
MO,123,415,402-6591,no,no,0,85,35.17,78,20.8,136,9.97,2,2.08,3,FALSE
IA,126,408,403-6419,no,yes,27,78,31.65,83,16.12,139,3.44,3,2.59,2,FALSE
VA,104,415,386-9790,no,yes,23,136,47.63,92,18.74,102,6.16,3,3.59,4,FALSE
KY,45,415,378-5692,no,yes,22,84,33.42,92,26.62,108,7.35,3,3.21,0,FALSE
MD,93,408,360-3324,yes,no,0,109,53.04,100,11,74,9.79,2,2.84,0,TRUE
OH,63,415,410-3719,yes,yes,36,110,33.83,111,24.76,92,8.89,6,2.97,1,FALSE
OK,100,415,352-4221,no,no,0,96,34.53,126,18.45,122,8.14,2,3.65,3,FALSE
NV,53,415,327-6179,no,no,0,97,28.7,87,18.73,113,6.94,2,2.94,0,FALSE
ID,92,415,359-6196,yes,no,0,140,29.43,105,20.43,117,10.49,5,2.43,1,FALSE
MN,139,510,374-9107,no,no,0,106,22.85,98,17.96,125,8.71,2,2.75,5,TRUE
SD,110,408,357-4078,no,yes,40,103,34.44,128,10.1,98,10.57,9,2.43,2,FALSE
IL,110,408,366-5780,no,no,0,117,12.67,98,17.07,101,8.65,7,2.65,3,FALSE
WY,215,510,393-9619,no,no,0,148,14.21,91,10.28,110,10.2,9,2.89,0,FALSE
AL,73,415,355-9295,no,no,0,86,32.67,116,14.33,87,6.29,6,2.54,1,FALSE
NJ,138,510,400-5751,no,no,0,89,37.43,125,7.51,79,8.79,5,3.48,0,FALSE
NV,137,415,338-1027,yes,no,0,95,22.97,102,11.4,81,10.04,2,3.32,2,TRUE
IN,36,415,405-8867,no,no,0,77,43.08,151,15.5,103,12.41,2,2.27,1,FALSE
WV,85,408,336-5616,no,no,0,81,38.25,63,15.04,110,8.74,2,1.92,3,FALSE
VA,108,408,335-1697,no,no,0,99,33.75,60,22.76,75,15.97,3,2.54,0,TRUE
SC,22,408,331-5138,no,no,0,107,18.75,93,14.15,96,9.1,5,2.57,0,FALSE
RI,107,415,385-8240,no,yes,37,102,10.2,80,8.69,106,11.78,3,3,0,FALSE
IN,51,510,348-1359,no,no,0,94,36.52,58,12.72,66,12.75,5,2.75,0,FALSE
AZ,94,408,354-7339,no,no,0,85,30.91,98,17.2,97,11.07,2,2.48,4,FALSE
NM,119,510,349-1687,no,yes,23,114,26.18,137,23.63,112,10.28,4,3.19,2,FALSE
OR,33,415,380-2558,no,yes,29,99,26.76,80,10.02,79,12.56,11,3.75,4,TRUE
NJ,106,415,365-2153,no,no,0,91,35.34,109,14.62,143,8.63,7,3.89,4,FALSE
MS,82,408,345-6043,no,no,0,90,35.19,83,19.8,108,7.76,8,2.46,3,FALSE
MI,86,510,349-2808,no,yes,41,101,20.23,134,19.55,58,10.66,3,2.57,0,FALSE
TX,97,415,411-1715,yes,no,0,117,24.43,82,23.21,81,8.02,3,2.94,0,FALSE
FL,106,408,385-2488,no,yes,32,126,28.2,93,18.4,86,7.79,8,3.81,4,FALSE
DC,108,510,377-7177,no,no,0,122,23.56,117,14.65,92,10.42,3,2.65,1,FALSE
TX,114,415,342-1099,no,no,0,118,14.4,86,21.24,95,8.7,8,3.92,1,FALSE
KS,92,408,386-4170,yes,no,0,111,10.64,126,15.35,80,9.98,2,2.81,1,TRUE
UT,59,510,413-1269,no,no,0,79,26.38,123,20,80,7.62,4,2.35,1,FALSE
MN,24,510,396-4460,no,yes,25,110,28.03,105,17.79,55,10.4,9,1.81,1,FALSE
IL,151,408,334-2730,no,no,0,88,22.87,112,12.16,61,10.08,1,4.16,1,FALSE
NM,117,415,340-3182,no,no,0,103,24.36,108,17.96,96,8.33,3,3.11,1,FALSE
SC,78,510,377-8608,no,no,0,110,28.61,73,18.8,136,10.85,1,3.38,1,FALSE
NC,155,408,417-3676,no,no,0,55,44.61,113,16.54,85,6.59,6,2.24,2,FALSE
WV,114,510,417-6774,no,yes,30,79,35.05,91,22.1,83,13.12,6,3.08,1,FALSE
RI,114,510,411-9554,no,yes,28,94,38.39,117,16.41,100,10.46,9,2.27,4,FALSE
NH,119,408,420-3192,no,no,0,89,23.51,78,14.49,98,11.88,6,3.65,3,FALSE
MO,64,510,389-1475,no,yes,48,104,16.05,101,11.58,89,6.63,4,1.22,0,FALSE
MA,118,408,343-7734,yes,no,0,123,27.2,96,14.91,99,8.32,3,2.67,2,FALSE
PA,101,415,410-3390,no,no,0,105,35.12,117,19.12,100,11.25,3,3.94,0,FALSE
OK,117,415,344-6495,no,no,0,121,22.9,83,15.3,104,9.04,3,2.08,1,FALSE
AL,49,415,331-6229,no,yes,28,78,36.45,100,19.99,107,9.28,13,2.16,3,FALSE
WY,139,415,337-7501,no,no,0,104,32.78,96,19.92,101,9.14,3,3.51,3,FALSE
PA,92,408,339-9631,no,yes,28,90,25.69,79,16.56,114,10.76,3,2.7,1,FALSE
WA,83,415,369-4384,no,no,0,103,37.64,103,19.7,100,5.51,5,2.65,3,FALSE
HI,148,510,416-3915,yes,no,0,88,37.21,85,17.68,99,9.15,4,3,0,FALSE
SD,144,408,339-3049,no,yes,48,96,32.27,67,10.49,106,9.64,2,1.76,2,TRUE
AL,131,415,361-7998,no,yes,25,85,32.76,105,19.2,59,11.44,6,2.94,2,FALSE
VT,146,510,355-4842,yes,no,0,135,34.75,90,18.62,114,10.02,6,2.84,3,FALSE
MT,143,415,387-6440,no,no,0,97,29.29,108,14.79,119,8.47,4,3.51,2,FALSE
